0,1,2,3,4,5,6,7,8,9,10
brown bread,canned beer,,,,,,,,,
whole milk,sauces,,,,,,,,,
butter,specialty chocolate,,,,,,,,,
chicken,curd,,,,,,,,,
coffee,butter,,,,,,,,,
soda,whole milk,,,,,,,,,
sugar,berries,,,,,,,,,
fruit/vegetable juice,baking powder,oil,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
chicken,berries,soda,,,,,,,,
pastry,soda,,,,,,,,,
shopping bags,other vegetables,newspapers,domestic eggs,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
brown bread,curd,,,,,,,,,
margarine,frozen meals,,,,,,,,,
dessert,zwieback,,,,,,,,,
canned beer,curd,,,,,,,,,
sausage,canned beer,whipped/sour cream,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
soda,waffles,,,,,,,,,
curd,whole milk,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
other vegetables,bottled water,shopping bags,,,,,,,,
whipped/sour cream,other vegetables,pot plants,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
chicken,cake bar,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
herbs,white bread,,,,,,,,,
rolls/buns,other vegetables,soft cheese,,,,,,,,
mustard,whole milk,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
sausage,bottled water,,,,,,,,,
canned beer,butter,,,,,,,,,
chicken,whole milk,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
bottled water,frozen fish,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
oil,soda,waffles,,,,,,,,
canned fish,cream cheese ,,,,,,,,,
sausage,margarine,,,,,,,,,
butter,candy,,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
seasonal products,herbs,spread cheese,pickled vegetables,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pork,coffee,frozen vegetables,,,,,,,,
root vegetables,berries,brandy,,,,,,,,
root vegetables,yogurt,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
canned beer,pip fruit,rolls/buns,brown bread,soft cheese,shopping bags,,,,,
whole milk,rolls/buns,canned fruit,onions,soda,,,,,,
other vegetables,rolls/buns,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
rolls/buns,candy,onions,,,,,,,,
beef,spices,,,,,,,,,
beef,whole milk,,,,,,,,,
meat,yogurt,,,,,,,,,
napkins,white bread,,,,,,,,,
meat,canned fish,brown bread,,,,,,,,
yogurt,pasta,,,,,,,,,
coffee,rolls/buns,soda,,,,,,,,
canned beer,yogurt,,,,,,,,,
bottled water,whole milk,rolls/buns,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
beef,dessert,,,,,,,,,
specialty chocolate,soda,bathroom cleaner,,,,,,,,
whole milk,whole milk,,,,,,,,,
butter,newspapers,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
butter,citrus fruit,,,,,,,,,
white wine,photo/film,whipped/sour cream,,,,,,,,
whole milk,rolls/buns,hygiene articles,,,,,,,,
whole milk,whole milk,,,,,,,,,
spread cheese,shopping bags,,,,,,,,,
bottled beer,hamburger meat,,,,,,,,,
tropical fruit,butter,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
pickled vegetables,liquor,,,,,,,,,
canned beer,coffee,,,,,,,,,
newspapers,long life bakery product,napkins,,,,,,,,
processed cheese,brandy,,,,,,,,,
pip fruit,bottled beer,margarine,,,,,,,,
coffee,other vegetables,margarine,domestic eggs,,,,,,,
soft cheese,pip fruit,,,,,,,,,
sausage,butter,,,,,,,,,
sausage,detergent,salty snack,,,,,,,,
dessert,other vegetables,other vegetables,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
long life bakery product,whole milk,pip fruit,pork,frozen dessert,,,,,,
specialty bar,pastry,,,,,,,,,
bags,other vegetables,,,,,,,,,
whole milk,cocoa drinks,,,,,,,,,
newspapers,soft cheese,,,,,,,,,
beef,shopping bags,,,,,,,,,
whole milk,ice cream,detergent,rolls/buns,,,,,,,
canned beer,frozen fish,,,,,,,,,
beef,pasta,,,,,,,,,
dishes,yogurt,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
other vegetables,citrus fruit,whole milk,frankfurter,zwieback,other vegetables,domestic eggs,brown bread,sugar,,
other vegetables,butter milk,long life bakery product,,,,,,,,
other vegetables,chicken,,,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
meat,other vegetables,,,,,,,,,
coffee,liquor,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
butter,shopping bags,,,,,,,,,
ham,citrus fruit,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
curd,butter milk,,,,,,,,,
pork,herbs,,,,,,,,,
pip fruit,curd,specialty bar,beverages,sausage,soft cheese,rolls/buns,yogurt,other vegetables,curd,newspapers
frankfurter,tropical fruit,,,,,,,,,
pork,whole milk,popcorn,,,,,,,,
bottled water,bottled water,,,,,,,,,
citrus fruit,curd,,,,,,,,,
UHT-milk,canned fish,root vegetables,waffles,,,,,,,
whole milk,other vegetables,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
bottled water,curd,semi-finished bread,,,,,,,,
ham,whole milk,brown bread,,,,,,,,
whole milk,hamburger meat,detergent,pickled vegetables,,,,,,,
photo/film,white wine,other vegetables,brown bread,canned fish,margarine,sliced cheese,,,,
coffee,tidbits,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
cat food,fruit/vegetable juice,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
newspapers,berries,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
ham,mayonnaise,,,,,,,,,
chicken,bottled water,,,,,,,,,
whole milk,canned beer,,,,,,,,,
whole milk,coffee,,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
canned fish,root vegetables,,,,,,,,,
beef,misc. beverages,,,,,,,,,
beef,tea,oil,,,,,,,,
chicken,cat food,,,,,,,,,
frankfurter,ice cream,mustard,soda,,,,,,,
rolls/buns,oil,yogurt,,,,,,,,
sausage,detergent,,,,,,,,,
whole milk,other vegetables,curd,,,,,,,,
chicken,root vegetables,,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
chicken,sliced cheese,,,,,,,,,
whole milk,coffee,chewing gum,,,,,,,,
pork,root vegetables,,,,,,,,,
tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,,
frozen vegetables,yogurt,bottled beer,,,,,,,,
soda,rolls/buns,,,,,,,,,
pip fruit,dessert,sauces,,,,,,,,
turkey,chocolate,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
bottled water,pastry,,,,,,,,,
frankfurter,mayonnaise,whipped/sour cream,pastry,misc. beverages,,,,,,
chicken,coffee,newspapers,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
turkey,white bread,,,,,,,,,
root vegetables,newspapers,butter,,,,,,,,
berries,other vegetables,,,,,,,,,
coffee,other vegetables,,,,,,,,,
beverages,bottled water,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
chicken,frozen meals,napkins,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
chicken,coffee,,,,,,,,,
tropical fruit,soda,,,,,,,,,
sausage,UHT-milk,female sanitary products,rolls/buns,,,,,,,
berries,pork,waffles,herbs,yogurt,specialty cheese,fruit/vegetable juice,long life bakery product,,,
pastry,berries,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
ham,chicken,condensed milk,other vegetables,whipped/sour cream,,,,,,
sausage,frozen vegetables,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
whole milk,other vegetables,yogurt,newspapers,bottled water,pet care,,,,,
whole milk,bottled beer,,,,,,,,,
sausage,other vegetables,,,,,,,,,
bottled water,pork,salty snack,,,,,,,,
margarine,whole milk,,,,,,,,,
rolls/buns,beef,,,,,,,,,
beef,other vegetables,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
turkey,condensed milk,yogurt,,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,bottled beer,roll products ,,,,,,,,
shopping bags,pork,canned fish,whole milk,onions,bottled beer,canned beer,,,,
tropical fruit,citrus fruit,domestic eggs,root vegetables,,,,,,,
whole milk,sausage,whole milk,yogurt,cake bar,female sanitary products,soda,,,,
canned beer,bottled beer,,,,,,,,,
cream cheese ,dessert,,,,,,,,,
chicken,coffee,,,,,,,,,
tea,beverages,,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
pastry,sliced cheese,fruit/vegetable juice,,,,,,,,
whole milk,bottled water,waffles,,,,,,,,
berries,red/blush wine,,,,,,,,,
soda,other vegetables,,,,,,,,,
frankfurter,pork,,,,,,,,,
whole milk,soda,,,,,,,,,
meat,bottled beer,liquor,waffles,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
UHT-milk,soda,,,,,,,,,
pork,pastry,,,,,,,,,
meat,frozen potato products,,,,,,,,,
pork,frozen meals,,,,,,,,,
canned beer,shopping bags,whole milk,,,,,,,,
rolls/buns,flour,,,,,,,,,
onions,onions,,,,,,,,,
whole milk,canned beer,,,,,,,,,
misc. beverages,domestic eggs,,,,,,,,,
chewing gum,pot plants,,,,,,,,,
butter milk,yogurt,yogurt,margarine,,,,,,,
bottled beer,frankfurter,pastry,sliced cheese,frozen vegetables,,,,,,
other vegetables,rolls/buns,domestic eggs,,,,,,,,
yogurt,root vegetables,,,,,,,,,
whole milk,soda,,,,,,,,,
beef,yogurt,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,cling film/bags,,,,,,,,,
hygiene articles,skin care,,,,,,,,,
grapes,soda,,,,,,,,,
semi-finished bread,shopping bags,,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
margarine,bottled water,,,,,,,,,
citrus fruit,brown bread,ketchup,,,,,,,,
hamburger meat,pasta,,,,,,,,,
zwieback,frozen vegetables,,,,,,,,,
sausage,whisky,specialty chocolate,dishes,yogurt,napkins,detergent,pastry,,,
newspapers,frozen meals,,,,,,,,,
meat,domestic eggs,,,,,,,,,
whole milk,waffles,waffles,,,,,,,,
turkey,root vegetables,,,,,,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
hard cheese,oil,,,,,,,,,
coffee,soda,photo/film,domestic eggs,,,,,,,
pork,butter,,,,,,,,,
chicken,whole milk,butter,soda,,,,,,,
bottled water,sliced cheese,,,,,,,,,
turkey,misc. beverages,bottled beer,butter,bottled water,margarine,seasonal products,,,,
finished products,whole milk,,,,,,,,,
chicken,curd,,,,,,,,,
coffee,root vegetables,,,,,,,,,
cleaner,curd,,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
ice cream,white wine,soups,instant coffee,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
butter,long life bakery product,,,,,,,,,
brown bread,hygiene articles,rolls/buns,,,,,,,,
newspapers,newspapers,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
specialty chocolate,whole milk,red/blush wine,,,,,,,,
soda,grapes,,,,,,,,,
root vegetables,semi-finished bread,canned beer,newspapers,,,,,,,
canned beer,chocolate,,,,,,,,,
pork,pudding powder,domestic eggs,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
whipped/sour cream,butter milk,shopping bags,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
frankfurter,soda,other vegetables,rolls/buns,rolls/buns,,,,,,
fish,canned beer,,,,,,,,,
whole milk,sliced cheese,shopping bags,,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
frankfurter,root vegetables,,,,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
berries,white wine,,,,,,,,,
butter,whole milk,root vegetables,butter,,,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
white bread,bottled water,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
whipped/sour cream,specialty bar,,,,,,,,,
beef,curd,,,,,,,,,
whole milk,sauces,,,,,,,,,
dish cleaner,cling film/bags,,,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
butter,white bread,,,,,,,,,
yogurt,grapes,,,,,,,,,
misc. beverages,oil,,,,,,,,,
salty snack,brown bread,napkins,,,,,,,,
cat food,white bread,,,,,,,,,
root vegetables,salt,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
cream cheese ,specialty chocolate,,,,,,,,,
soda,cake bar,,,,,,,,,
sugar,whole milk,,,,,,,,,
root vegetables,flour,,,,,,,,,
beef,pastry,yogurt,chewing gum,,,,,,,
whipped/sour cream,beverages,,,,,,,,,
specialty fat,other vegetables,white wine,,,,,,,,
tropical fruit,soda,,,,,,,,,
hamburger meat,curd,,,,,,,,,
beef,canned beer,margarine,,,,,,,,
whole milk,curd,rolls/buns,rolls/buns,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,sugar,,,,,,,,,
prosecco,onions,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
shopping bags,whole milk,whole milk,whole milk,detergent,flour,,,,,
coffee,margarine,,,,,,,,,
meat,tropical fruit,yogurt,candles,,,,,,,
oil,bottled beer,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
beef,butter,yogurt,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
tropical fruit,flower soil/fertilizer,flour,specialty bar,,,,,,,
liquor,curd,yogurt,tropical fruit,,,,,,,
other vegetables,brown bread,,,,,,,,,
root vegetables,root vegetables,root vegetables,pastry,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
rolls/buns,yogurt,Instant food products,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
yogurt,root vegetables,candles,,,,,,,,
root vegetables,tropical fruit,other vegetables,processed cheese,,,,,,,
other vegetables,specialty fat,,,,,,,,,
yogurt,whole milk,,,,,,,,,
beef,shopping bags,,,,,,,,,
canned beer,bottled water,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
root vegetables,yogurt,canned vegetables,,,,,,,,
whole milk,newspapers,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
pickled vegetables,bottled water,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
liquor (appetizer),hygiene articles,,,,,,,,,
red/blush wine,whole milk,margarine,,,,,,,,
frankfurter,dishes,,,,,,,,,
citrus fruit,bottled water,pastry,,,,,,,,
shopping bags,hard cheese,yogurt,,,,,,,,
whole milk,newspapers,,,,,,,,,
chicken,root vegetables,,,,,,,,,
soda,other vegetables,,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
rolls/buns,shopping bags,whole milk,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
bottled beer,berries,,,,,,,,,
pork,soda,rolls/buns,brown bread,,,,,,,
pip fruit,onions,,,,,,,,,
grapes,other vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
specialty cheese,misc. beverages,,,,,,,,,
pastry,soda,instant coffee,,,,,,,,
waffles,semi-finished bread,,,,,,,,,
whole milk,beef,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
other vegetables,kitchen towels,,,,,,,,,
canned beer,root vegetables,hard cheese,specialty cheese,,,,,,,
misc. beverages,dessert,spread cheese,onions,coffee,,,,,,
soda,other vegetables,,,,,,,,,
margarine,soda,whole milk,house keeping products,cling film/bags,bottled water,chocolate,frozen vegetables,,,
rolls/buns,coffee,,,,,,,,,
sliced cheese,rolls/buns,rolls/buns,,,,,,,,
sausage,bottled beer,hygiene articles,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
tropical fruit,soups,,,,,,,,,
pork,other vegetables,shopping bags,,,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
white wine,chocolate marshmallow,,,,,,,,,
salty snack,soda,oil,,,,,,,,
meat,canned beer,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
tropical fruit,soft cheese,shopping bags,,,,,,,,
other vegetables,bottled water,,,,,,,,,
photo/film,root vegetables,newspapers,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
canned beer,ham,bottled water,domestic eggs,,,,,,,
pastry,citrus fruit,,,,,,,,,
sugar,shopping bags,,,,,,,,,
pip fruit,whole milk,napkins,,,,,,,,
soda,domestic eggs,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
photo/film,other vegetables,,,,,,,,,
rolls/buns,oil,beverages,bottled water,,,,,,,
Instant food products,pip fruit,,,,,,,,,
newspapers,zwieback,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
white wine,whole milk,,,,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
beverages,whole milk,,,,,,,,,
white bread,beverages,,,,,,,,,
beef,butter milk,,,,,,,,,
sausage,hygiene articles,,,,,,,,,
shopping bags,tropical fruit,,,,,,,,,
meat,ham,,,,,,,,,
other vegetables,pudding powder,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
ice cream,oil,,,,,,,,,
pork,condensed milk,bottled beer,other vegetables,candy,,,,,,
yogurt,other vegetables,soft cheese,salt,,,,,,,
bottled beer,pasta,,,,,,,,,
waffles,pip fruit,whole milk,beef,yogurt,,,,,,
dish cleaner,waffles,,,,,,,,,
cat food,other vegetables,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
long life bakery product,butter,rolls/buns,newspapers,,,,,,,
zwieback,whole milk,domestic eggs,,,,,,,,
soda,citrus fruit,,,,,,,,,
sugar,dish cleaner,,,,,,,,,
sausage,white wine,candy,,,,,,,,
tropical fruit,tropical fruit,soda,salty snack,,,,,,,
margarine,frozen vegetables,baking powder,,,,,,,,
domestic eggs,roll products ,oil,,,,,,,,
berries,UHT-milk,cream cheese ,,,,,,,,
onions,tropical fruit,shopping bags,other vegetables,,,,,,,
chocolate,coffee,,,,,,,,,
frozen dessert,detergent,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
instant coffee,chewing gum,,,,,,,,,
curd,butter,,,,,,,,,
frozen chicken,white wine,,,,,,,,,
frozen vegetables,domestic eggs,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
pork,citrus fruit,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
root vegetables,waffles,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
berries,packaged fruit/vegetables,tidbits,,,,,,,,
whole milk,canned beer,specialty bar,sugar,detergent,,,,,,
sliced cheese,shopping bags,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
sauces,frozen vegetables,,,,,,,,,
pork,pip fruit,chocolate,,,,,,,,
whole milk,waffles,soft cheese,domestic eggs,dish cleaner,bathroom cleaner,,,,,
herbs,pork,sugar,hard cheese,long life bakery product,,,,,,
other vegetables,rolls/buns,onions,whole milk,,,,,,,
whole milk,butter,,,,,,,,,
other vegetables,specialty bar,long life bakery product,,,,,,,,
whole milk,soda,bottled water,pastry,,,,,,,
frankfurter,root vegetables,,,,,,,,,
citrus fruit,bottled water,napkins,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
ice cream,dishes,,,,,,,,,
chocolate marshmallow,yogurt,,,,,,,,,
liver loaf,soda,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
citrus fruit,pork,pip fruit,yogurt,brown bread,male cosmetics,,,,,
roll products ,soda,other vegetables,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
ham,other vegetables,,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
sausage,pet care,,,,,,,,,
other vegetables,margarine,other vegetables,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
root vegetables,hard cheese,margarine,yogurt,,,,,,,
rolls/buns,newspapers,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
liquor,baking powder,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
Instant food products,whipped/sour cream,,,,,,,,,
brown bread,tropical fruit,rolls/buns,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
bottled beer,tropical fruit,bottled water,,,,,,,,
butter,margarine,,,,,,,,,
beverages,other vegetables,brown bread,,,,,,,,
canned beer,salty snack,,,,,,,,,
hamburger meat,tropical fruit,cat food,whole milk,artif. sweetener,packaged fruit/vegetables,,,,,
citrus fruit,spread cheese,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
whole milk,onions,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
soda,beverages,,,,,,,,,
cake bar,pastry,butter,,,,,,,,
sausage,yogurt,,,,,,,,,
sausage,beef,,,,,,,,,
herbs,spread cheese,rolls/buns,,,,,,,,
grapes,whipped/sour cream,dishes,,,,,,,,
citrus fruit,soda,,,,,,,,,
meat,rolls/buns,,,,,,,,,
fruit/vegetable juice,coffee,,,,,,,,,
coffee,salty snack,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
salty snack,butter milk,,,,,,,,,
other vegetables,ready soups,baking powder,,,,,,,,
chicken,whole milk,newspapers,,,,,,,,
whole milk,butter milk,rubbing alcohol,fruit/vegetable juice,,,,,,,
pork,sugar,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
sausage,butter,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
yogurt,pastry,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
bottled water,coffee,,,,,,,,,
pip fruit,dishes,soft cheese,,,,,,,,
sausage,chocolate,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
shopping bags,cake bar,,,,,,,,,
sliced cheese,brown bread,roll products ,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
whole milk,rolls/buns,tropical fruit,other vegetables,cake bar,rolls/buns,curd,,,,
soda,root vegetables,whole milk,pastry,,,,,,,
other vegetables,bottled beer,,,,,,,,,
soda,other vegetables,,,,,,,,,
tropical fruit,chicken,beef,pasta,onions,long life bakery product,whole milk,jam,,,
pot plants,grapes,brown bread,other vegetables,kitchen towels,,,,,,
pork,curd,,,,,,,,,
jam,cream cheese ,,,,,,,,,
citrus fruit,hamburger meat,tea,root vegetables,sugar,shopping bags,,,,,
curd,cake bar,ketchup,,,,,,,,
rolls/buns,bathroom cleaner,,,,,,,,,
berries,tropical fruit,rolls/buns,pastry,rolls/buns,whole milk,frozen vegetables,,,,
canned fish,coffee,,,,,,,,,
citrus fruit,herbs,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
root vegetables,frozen meals,salty snack,,,,,,,,
soda,root vegetables,,,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
other vegetables,whole milk,house keeping products,,,,,,,,
rolls/buns,candy,,,,,,,,,
whole milk,candles,,,,,,,,,
rolls/buns,citrus fruit,fruit/vegetable juice,,,,,,,,
beef,waffles,,,,,,,,,
whole milk,whole milk,whole milk,pip fruit,waffles,whole milk,coffee,chocolate,,,
turkey,rolls/buns,,,,,,,,,
bottled water,soda,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
white bread,bottled water,ready soups,curd,,,,,,,
pip fruit,soda,domestic eggs,,,,,,,,
turkey,yogurt,,,,,,,,,
rolls/buns,tropical fruit,salty snack,specialty bar,,,,,,,
frankfurter,whole milk,fruit/vegetable juice,candy,,,,,,,
yogurt,whole milk,,,,,,,,,
other vegetables,beverages,,,,,,,,,
other vegetables,shopping bags,soda,,,,,,,,
specialty cheese,meat,cat food,bottled beer,newspapers,,,,,,
spices,soda,,,,,,,,,
pork,bottled water,,,,,,,,,
citrus fruit,beef,,,,,,,,,
house keeping products,rolls/buns,pickled vegetables,curd,,,,,,,
cling film/bags,other vegetables,,,,,,,,,
fruit/vegetable juice,cat food,zwieback,frozen dessert,,,,,,,
root vegetables,bottled beer,fruit/vegetable juice,,,,,,,,
whole milk,frozen vegetables,semi-finished bread,,,,,,,,
processed cheese,roll products ,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
female sanitary products,rolls/buns,,,,,,,,,
ready soups,pastry,,,,,,,,,
chicken,butter milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
frankfurter,soda,whipped/sour cream,,,,,,,,
sausage,root vegetables,,,,,,,,,
ice cream,onions,,,,,,,,,
cat food,candy,,,,,,,,,
yogurt,dog food,semi-finished bread,napkins,,,,,,,
canned beer,hygiene articles,,,,,,,,,
sausage,other vegetables,,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
sausage,pip fruit,brown bread,,,,,,,,
canned beer,root vegetables,,,,,,,,,
canned beer,grapes,UHT-milk,brown bread,,,,,,,
onions,root vegetables,soap,cream cheese ,,,,,,,
sausage,whole milk,whipped/sour cream,yogurt,,,,,,,
softener,soda,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
bottled water,brown bread,,,,,,,,,
chicken,pip fruit,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
onions,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
fruit/vegetable juice,dental care,,,,,,,,,
onions,cat food,white wine,,,,,,,,
sausage,specialty chocolate,,,,,,,,,
hard cheese,meat,beverages,curd,fruit/vegetable juice,,,,,,
detergent,newspapers,,,,,,,,,
yogurt,bottled water,domestic eggs,,,,,,,,
whole milk,bottled beer,,,,,,,,,
UHT-milk,newspapers,salty snack,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
pastry,sugar,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
hard cheese,bottled water,,,,,,,,,
frankfurter,curd,,,,,,,,,
chicken,nut snack,,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
tropical fruit,instant coffee,yogurt,salty snack,,,,,,,
margarine,canned fish,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
herbs,chewing gum,,,,,,,,,
misc. beverages,other vegetables,brown bread,,,,,,,,
pork,yogurt,napkins,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
domestic eggs,whole milk,bottled water,,,,,,,,
photo/film,cat food,,,,,,,,,
shopping bags,frozen vegetables,,,,,,,,,
other vegetables,whole milk,candy,,,,,,,,
citrus fruit,curd,,,,,,,,,
dessert,bottled water,,,,,,,,,
butter,coffee,,,,,,,,,
whole milk,yogurt,domestic eggs,newspapers,,,,,,,
beef,napkins,,,,,,,,,
soda,butter,,,,,,,,,
meat,fish,meat spreads,abrasive cleaner,margarine,,,,,,
frankfurter,curd,,,,,,,,,
rolls/buns,soda,,,,,,,,,
ham,candy,,,,,,,,,
soda,yogurt,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
pastry,brown bread,,,,,,,,,
other vegetables,margarine,shopping bags,processed cheese,,,,,,,
